-0.156064,16.9867,-0.0905733,-0.254674,0.448489,-2.91826,-0.306918
-0.153759,16.9827,-0.0617459,-0.254239,0.438732,-2.91657,-0.2961
-0.139818,16.9588,-0.092943,-0.243906,0.454684,-2.9205,-0.357857
-0.142581,16.9701,-0.0555341,-0.225372,0.445507,-2.88862,-0.362631
-0.14434,16.9589,-0.0826488,-0.229954,0.453022,-2.90935,-0.309917
-0.143831,16.9903,-0.0648631,-0.237531,0.455927,-2.90426,-0.344164
-0.149926,16.9601,-0.0807406,-0.232354,0.444522,-2.89395,-0.33783
-0.146378,16.9995,-0.0596985,-0.231004,0.44917,-2.91327,-0.225654
-0.128306,16.9752,-0.0604689,-0.266829,0.436778,-2.90745,-0.082826
-0.13447,16.9814,-0.042286,-0.233737,0.441752,-2.90694,-0.0930583
-0.0924531,16.9666,-0.0674116,-0.267489,0.456347,-2.89515,-0.11818
,,,,,,
-0.123319,16.9966,-0.0787722,-0.23885,0.443343,-2.91547,-0.083183
-0.13811,16.9864,-0.1017,-0.255451,0.463986,-2.91733,-0.142191
-0.109431,16.9843,-0.112029,-0.237083,0.481024,-2.90146,-0.174879
