-0.431223,20.2238,0.0167536,-1.38873,0.507734,-4.60178,-0.368577
-0.352497,20.2267,0.0245921,-1.40625,0.506559,-4.59063,-0.37104
-0.347931,20.2475,0.0244725,-1.39057,0.51807,-4.59043,-0.422376
-0.324952,20.2494,0.0124043,-1.43158,0.528794,-4.58037,-0.534406
-0.299631,20.2506,-0.024938,-1.40324,0.53373,-4.57937,-0.531563
-0.335242,20.287,-0.0166358,-1.38553,0.533664,-4.59549,-0.494656
-0.29046,20.308,-0.0432352,-1.38693,0.56853,-4.57567,-0.406651
-0.297019,20.2928,-0.0752641,-1.38901,0.569666,-4.58251,-0.358565
-0.318704,20.3246,-0.0814262,-1.41287,0.555613,-4.56925,-0.350536
-0.288491,20.3149,-0.0706056,-1.42945,0.570988,-4.60576,-0.446228
-0.293403,20.3358,-0.0773503,-1.39123,0.566828,-4.58918,-0.439814
,,,,,,
-0.269183,20.3186,-0.0122748,-1.44078,0.563393,-4.57051,-0.238824
-0.305583,20.3262,0.0737727,-1.41524,0.504396,-4.59592,-0.0537412
-0.33565,20.3085,0.236299,-1.36703,0.46314,-4.5905,-0.194095
